#data from https://ltl-school.com/chinese-vocabulary/
Upstairs ,楼上,lóushang
Toilet ,卫生间,wèishēng jiān
Guitar,吉他,jítā
Cello ,大提琴,dàtíqín
Violin ,小提琴,xiǎotíqín
Harp ,竖琴,shùqín
Piano ,钢琴,gāngqín
Xylophone ,木琴,mùqín
Drums ,鼓,gǔ
Trumpet ,喇叭,lǎbā
Trombone ,长号,cháng hào
Flute ,长笛,chángdí
Ring ,戒指,jièzhi
Necklace ,项链,xiàngliàn
Bracelet ,手链,shǒuliàn
Earrings ,耳环,ěrhuán
Nose ring ,鼻环,bíhuán
Gold ,黄金,huángjīn
Silver ,银,yín
Diamond ,钻石,zuànshí
Tiffany &amp; Co ,蒂芙尼,dìfúní
Pandora ,潘多拉,pānduōlā
Face ,脸,liǎn
Forehead ,额头,é’tóu
Eyebrows ,眉毛,méimáo
Foundation ,粉底,fěndǐ
Bronzing powder ,古铜粉 ,gǔ tóng fěn
Highlighter ,高光,gāoguāng
Contour ,修容,xiū róng
Concealer ,遮瑕膏,zhēxiá gāo
Blush ,腮红,sāihóng
Eye shadow ,眼影,yǎnyǐng
Number ,数字,shù zì
Odd ,奇数的,jī shù de
Even,偶数的,ǒu shù de
Plus/Add,加法,jiā fǎ
One Half (1/2) ,二分之一,èrfēn zhīyī
One Third (1/3) ,三分之一,sānfēn zhīyī
One Quarter (1/4) ,四分之一,sìfēn zhīyī
Arithmetic,算术,suàn shù
Algebra,代数,dài shù
Calculus,微积分,wēi jī fēn
generic ,个,gè
flat things (paper) ,张,zhāng
books ,本,běn
glasses or cups ,杯,bēi
bottles ,瓶,píng
clothing, presents or problems ,件,jiàn
families or business ,家,jiā
animals ,只,zhī
vehicles with wheels ,辆,liàng
A pair of (something) ,双,shuāng
gram,克,kè
milligram ,毫克,háo kè
kilogram ,公斤,gōng jīn
ton ,吨,dūn
length ,长,cháng
metre ,米,mǐ
centimetre ,厘米,lí mǐ
kilometre ,公里,gōng lǐ
litre ,升,shēng
hectare ,公顷,gōng qǐng
SIM card ,SIM 卡,sim kǎ
Battery ,电池,diàn chí
Button ,按钮,àn niǔ
Charger ,充电器,chōng diàn qì
Contacts ,电话簿,diàn huà bù
WiFi ,无线,wú xiàn
Notification ,通知,tōng zhī
Email ,邮件,yóu jiàn
WeChat ,微信,wēi xìn
Camera ,相机,xiàng jī
money ,钱,qián
coin ,硬币,yìngbì
debt ,债务,zhài wù
bank ,银行,yín háng
credit card ,信用卡 ,xìn yòng kǎ
price ,价钱,jià qian
to pay ,付,fù
give change ,零钱,líng qián
ATM ,自动取款机,zì dòng qǔ kuǎn jī
exchange rate ,汇率,huì lǜ
0 ,零,líng
1 ,一,yī
2 ,二,èr
3 ,三,sān
10 ,十,shí
99 ,九十九,jiǔ shí jiǔ
100 ,一百,yì bǎi
Year ,年,nián
month,月,yuè
Date ,日 ,rì
Job ,工作,gōngzuò
Accountant ,会计,kuài jì
Designer ,设计师,shè jì shī
Lawyer ,律师,lǜ shī
Beautician ,美容师,měi róng shī
Doctor ,医生,yī shēng
Hairdresser ,理发师,lǐ fà shī
Artist ,艺术家,yì shù jiā
Farmer ,农民,nóngmín
Teacher ,老师,lǎo shī
Olympic Games ,奥运会 ,ào yùn huì
Olympic Torch ,奥运会的圣火,àoyùnhuì de shènghuǒ
The Olympic Flag ,奥运会会旗,àoyùnhuìhuìqí
Opening Ceremony ,奥运会开幕式,àoyùnhuì kāimù shì
Swimming,游泳,yóuyǒng
Athletics,田径,tiánjìng
Cycling,自行车,zìxíngchē
Gold medal,金牌,jīnpái
Athlete,运动员,yùndòngyuán
Paralympic Games,残奥会,cán ào huì
Rich,富有,fù yǒu
Poor,贫穷 ,pín qióng
Sick,生病 ,shēng bìng
Healthy,健康 ,jiàn kāng
Big,大 ,dà
Small,小 ,xiǎo
Fast,快,kuài
Slow,慢,màn
Happy,快乐 ,kuài lè
Sad,伤心,shāngxīn
France,法国,fà guó
America,美国,měi guó
Brazil,巴西,bā xī
Egypt,埃及,āi jí
South Africa,南非,nán fēi
Japan,日本,rì běn
India,印度,yìn dù
Phuket,普吉岛,pǔ jí dǎo
London,伦敦,lún dūn
New York,纽约,niǔ yuē
Daisy ,雏菊花,chújú huā
Cactus ,仙人掌,xiānrénzhǎng
Rose ,玫瑰,méiguī
Sunflower ,向日葵,xiàngrìkuí
Lavender ,薰衣草,xūnyīcǎo
Lotus ,莲花,liánhuā
Iris ,鸢尾花,yuānwěi huā
Orchid ,兰花,lánhuā
Lily ,百合,bǎihé
Bamboo ,竹子,zhúzi
Who ,谁,shéi
What ,什么,shén me
Why ,为什么,wèi shén me
Where ,哪里,nǎ lǐ
Which ,哪个,nǎ ge
When ,什么时候,shén me shí hou
How ,怎么,zěn me
What’s your name? ,您叫什么名字,nín jiào shénme míngzi？
Where do you live? ,您住在哪里？,nín zhù zài nǎ lǐ？
Do you like China? ,您喜欢中国吗？,nín xǐ huan zhōng guó ma？
Monday ,星期一 , xīng qī yī
Sunday ,星期天,xīng qī tiān
January ,一月,yī yuè
December ,十二月,shí èr yuè
Summer ,夏天,xià tiān
Winter ,冬天 , dōng tiān
Morning ,早晨 ,zǎo chén
Night ,夜晚 ,yè wǎn
Today ,今天 ,jīn tiān
Tomorrow ,明天,míng tiān
Shape ,形状,xíng zhuàng
Triangle ,三角形,sān jiǎo xíng
Square ,方形,fāng xíng
Circle ,圆形,yuán xíng
Rectangle ,矩形,jǔ xíng
Pentagon ,五角形, wǔjiǎoxíng
Octagon ,八角形,bā jiǎoxíng
Sphere ,球形,qiú xíng
Cone ,锥体,zhuī tǐ
Cube ,立方体,lì fāng tǐ
Appliances ,家电,jiādiàn
Home ,居家,jūjiā
Digital ,数码,shùmǎ
Cars ,汽车,qìchē
Toys ,玩具,wánjù
Entertainment ,娱乐,yúlè
Beauty ,美妆,měi zhuāng
Personal care ,个护,gè hù
Jewellery ,饰品,shìpǐn
Furniture ,家具,jiājù
To bathe ,洗澡,xǐzǎo
To shower ,淋浴,línyù
Shampoo ,洗发水,xǐfàshuǐ
Conditioner ,护发素,hùfàsù
Body Wash ,沐浴露,mùyùlù
Hair dryer ,吹风机,chuīfēngjī
Towel ,毛巾,máojīn
Face wash ,洗面奶,xǐmiànnǎi
Moisturizer ,护肤霜,hùfūshuāng
Soap ,肥皂,féizào
Sun ,太阳,tài yáng
Mercury ,水星,shuǐ xīng
Venus ,金星,jīn xīng
Earth ,地球,dì qiú
Space ,太空,tài kōng
Asteroid ,小行星,xiǎo xíng xīng
Black Hole ,黑洞,hēi dòng
Comet ,彗星,huì xīng
Galaxy ,银河系,yín hé xì
Moon ,月亮,yuè liang
Fan ,球迷,qiú mí
Match ,球赛,qiú sài
Table Tennis ,乒乓球,pīngpāng qiú
Basketball ,篮球,lánqiú
Cricket ,板球,bǎn qiú
Football ,足球,zúqiú
Run ,跑步,pǎobù
Swim ,游泳,yóu yǒng
Skiing ,滑雪,huáxuě
Boxing ,拳击,quánjí
Pen ,笔,bǐ
Pencil ,铅笔,qiānbǐ
School Bag ,书包,shūbāo
Calculator ,计算器, jìsuànqì
Eraser ,橡皮,xiàngpí
Pencil Sharpener ,转笔刀,zhuànbǐdāo
Scissors ,剪刀,jiǎndāo
Sticky Tape ,胶带,jiāodài
Paperclip ,曲别针,qūbiézhēn
Stapler ,订书机,dìngshūjī
Subway ,赛百味 ,sài bǎiwèi
Bread ,面包 ,miàn bāo
6 Inch ,6寸的 ,liù cùn de
Footlong ,12寸的,shíèr cùn de
Veggie Delight ,缤纷蔬菜,bīnfēn shūcài
Ham and Chinese ,西式火腿 ,xīshì huǒtuǐ
Lettuce ,生菜 ,shēng cài
Tomato ,生菜,shēng cài
Honey Mustard ,蜜汁芥末酱,mì zhī jiè mò jiàng
Mayonnaise ,蛋黄酱,dàn huáng jiàng
Superhero ,超级英雄,chāo jí yīng xióng
Spiderman ,蜘蛛侠,zhīzhū xiá
Superman ,超人,chāorén
Batman ,蝙蝠侠,biānfúxiá
Joker ,小丑,xiǎochǒu
Wonder Woman ,神奇女侠,shénqí nǚxiá
Green Lantern,绿灯侠, lǜdēng xiá
Thor ,雷神托尔,léi shén tuō ěr
Captain America ,美国队长,měiguó duì zhǎng
Iron Man ,钢铁侠,gāngtiě xiá
Therapy ,治疗,zhìliáo
Therapist ,治疗师,zhìliáo shī
Psychology ,心理学,xīnlǐ xué
Speech Therapy ,言语干预,yán yǔ gān yù
Occupational Therapy ,职能辅导, zhí néng fǔ dǎo
Behavioural Therapy ,行为辅导,xíng wéi fǔ dǎo
Physiotherapy ,物理疗法,wùlǐ liáofǎ
Therapy Dog ,治疗狗,zhìliáo gǒu
Assessment ,评估,píng gū
Behaviour ,行为,xíng wéi
Clock ,时钟,shí zhōng
1 O’Clock,一点,yī diǎn
Hour,小时,xiǎo shí
Minute,分钟,fēn zhōng
Second,秒,miǎo
Morning,早上,zǎo shang
Today,今天,jīntiān
Yesterday,昨天,zuótiān
Tomorrow,明天,míngtiān
Wednesday,星期三 ,xīngqī sān
Transport ,交通运输,jiāotōng yùnshū
Ambulance ,救护车,jiùhù chē
Bicycle ,自行车,zìxíng chē
Bus ,公共汽车,gōnggòng qìchē
Car ,车,chē
Motorbike ,摩托车,mótuō chē
Taxi ,出租车,chūzū chē
Tram ,电车,diànchē
Van ,面包车,miànbāo chē
Helicopter ,直升机,zhíshēng jī
Asparagus ,芦笋, lú sǔn
Broccoli ,西兰花,xī lán hu
Cabbage ,卷心菜,juǎnxīncài
Carrot ,胡萝卜,hú luó bo
Cauliflower ,菜花,cài huā
Celery ,芹菜,qín cài
Cucumber ,黄瓜,huáng guā
Eggplant ,茄子,qié zi
Garlic ,大蒜,dà suàn
Mushrooms ,蘑菇,mó gu
Agree ,同意,tóng yì
Answer ,回答,huí dá
Cook ,做饭,zuò fàn
Cry ,哭,kū
Dig ,挖,wā
Find ,找到,zhǎo dào
Give ,给,gěi
Have ,有,yǒu
Hear ,听见,tīng jiàn
Laugh ,笑,xiào
Hospital ,医院,yīyuàn
Doctor ,医生,yīshēng
Nurse ,护士,hùshì
Pharmacy ,药店,yàodiàn
Pharmacist ,药剂师 ,yàojì shī
Medicine ,药,yào
Symptom ,症状,zhèngzhuàng
Unwell ,不舒服 ,bù shūfu
Fever ,发烧 ,fā shāo zhuangzheng
Headache,头疼,tóuténg
